dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
104,0.04483055,0.0046580182,-0.040172532,0.10390277
105,0.03772779,0.18729632,0.14956853,4.964412
106,0.02360323,0.013056212,-0.010547019,0.5531536
107,0.077752896,0.054629408,-0.023123488,0.70260286
108,0.0055426317,0.0013402081,-0.0042024236,0.24179995
109,0.054844268,0.054631934,-0.0002123341,0.99612844
110,0.07865828,0.035052918,-0.043605365,0.44563544
111,0.010136469,0.0059685577,-0.0041679116,0.58882016
112,0.019806527,0.023359321,0.0035527945,1.1793749
113,0.03499619,0.10888314,0.07388695,3.1112857
114,0.02686248,0.0070141936,-0.019848287,0.2611149
115,0.032732964,0.0137961,-0.018936863,0.42147422
116,0.30917922,0.673134,0.3639548,2.1771646
117,0.023216141,0.034016207,0.0108000655,1.4651964
118,0.06796916,0.23134887,0.16337971,3.403733
119,0.0016765585,0.009416859,0.0077403,5.616779
120,0.007006336,0.018938374,0.011932038,2.7030354
121,0.018916328,0.010855031,-0.008061296,0.57384455
122,0.0029826323,0.014928872,0.0119462395,5.005267
123,0.007029354,0.0019186608,-0.005110693,0.2729498
124,0.00055826764,0.0062165163,0.0056582484,11.135369
125,0.04204948,0.053679015,0.011629537,1.2765679
126,0.09338097,0.058945052,-0.03443592,0.63123196
127,0.02170744,0.024289142,0.0025817025,1.1189317
128,0.018669622,0.0034813222,-0.0151883,0.18646988
129,0.14302343,0.27598163,0.1329582,1.9296253
130,0.015392624,0.0038420036,-0.01155062,0.2496003
131,0.028245265,0.06120505,0.03295979,2.1669137
132,0.008084479,0.0039429795,-0.0041414993,0.48772216
133,0.0035899135,0.008171393,0.0045814794,2.2762089
134,0.0253741,0.02470763,-0.00066646934,0.97373426
135,0.13165598,0.08394469,-0.047711283,0.6376064
136,0.010326849,0.008308554,-0.0020182952,0.80455846
137,0.0128249815,0.077862754,0.06503777,6.071179
138,0.0042371443,0.01899039,0.014753246,4.481884
139,0.031633332,0.051015917,0.019382585,1.6127266
140,0.035921823,0.031703603,-0.0042182207,0.8825722
141,0.053339798,0.026709681,-0.026630117,0.50074583
142,0.029513685,0.027879827,-0.0016338583,0.94464064
143,0.013084005,0.011513912,-0.0015700925,0.8799991
144,0.030323097,0.016939675,-0.013383422,0.55863935
145,0.011426239,0.024449145,0.013022906,2.139737
146,0.039242957,0.021267435,-0.017975522,0.5419427
147,0.016599309,0.016252168,-0.00034714118,0.979087
148,0.06716108,0.028233252,-0.03892783,0.42038113
149,0.010389735,0.012603534,0.0022137994,1.2130756
150,0.01630529,0.0077004447,-0.008604845,0.47226664
151,0.025231529,0.18766442,0.1624329,7.437695
152,0.16024557,0.17113397,0.010888398,1.0679482
153,0.037808415,0.19750452,0.1596961,5.2238245
154,0.094142236,0.21170908,0.11756685,2.2488215
155,0.20679563,0.0796967,-0.12709893,0.3853887
156,0.104202464,0.041287504,-0.06291496,0.39622387
157,0.004132945,0.00050704886,-0.0036258963,0.122684635
158,0.023458138,0.013090833,-0.010367305,0.5580508
159,0.011595656,0.020817937,0.009222281,1.7953221
160,0.104562916,0.047608227,-0.05695469,0.45530698
161,0.0054630903,0.009209316,0.003746226,1.6857339
162,0.13269654,0.077315256,-0.055381283,0.58264714
163,0.060574442,0.012757324,-0.04781712,0.21060571
164,0.043545373,0.04797147,0.0044260956,1.1016433
165,0.03952998,0.018768722,-0.020761257,0.47479716
166,0.013970759,0.008104513,-0.0058662454,0.5801055
167,0.07564316,0.07911419,0.0034710318,1.0458869
168,0.064162865,0.23910649,0.17494363,3.7265556
169,0.040381566,0.0083629405,-0.032018624,0.20709798
170,0.011007525,0.0071116565,-0.0038958685,0.64607227
171,0.022608446,0.0813783,0.05876986,3.5994647
172,0.011476729,0.0043634633,-0.007113266,0.38020095
173,0.07101898,0.07326906,0.0022500828,1.0316828
174,0.095352136,0.0724224,-0.022929735,0.7595257
175,0.067250445,0.08031063,0.013060182,1.1942022
176,0.007914492,0.0053352434,-0.0025792485,0.67411065
177,0.011137615,0.004309705,-0.00682791,0.38695043
178,0.050039127,0.032627884,-0.017411243,0.65204746
179,0.20360225,0.1872745,-0.016327754,0.91980565
180,0.008775184,0.023321314,0.01454613,2.6576438
181,0.0035866275,0.0013862804,-0.0022003471,0.38651362
182,0.01014387,0.08563288,0.075489014,8.441836
183,0.014979273,0.023794414,0.008815141,1.5884893
184,0.3263784,0.75962466,0.43324625,2.3274355
185,0.0064477506,0.0030540018,-0.0033937488,0.47365385
186,0.039003316,0.024926158,-0.014077159,0.6390779
187,0.024323883,0.025868263,0.0015443806,1.0634923
188,0.052011773,0.3148859,0.26287413,6.0541277
189,0.110191435,0.22459078,0.114399344,2.0381873
190,0.08914902,0.05737885,-0.03177017,0.6436285
191,0.0018695046,0.0066680973,0.004798593,3.5667725
192,0.013504846,0.0031903868,-0.010314459,0.23624015
193,0.059104435,0.11960438,0.060499944,2.0236108
194,0.074530795,0.07531196,0.0007811636,1.0104811
195,0.0034273665,0.008006639,0.004579272,2.3360906
196,0.1419492,0.08216787,-0.059781335,0.578854
197,0.050798066,0.028729426,-0.02206864,0.5655614
198,0.0262,0.006395189,-0.019804811,0.24409118
199,0.016345786,0.3645688,0.348223,22.303534
200,0.002683496,0.0071229585,0.0044394624,2.6543577
201,0.019718705,0.29792142,0.2782027,15.108569
202,0.0100107575,0.018415956,0.008405198,1.8396167
203,0.013539043,0.028045708,0.014506665,2.071469
204,0.007707131,0.0067383796,-0.0009687515,0.87430453
205,0.0033289162,0.47822425,0.47489533,143.65764
206,0.0018869855,0.035511788,0.0336248,18.819323
207,0.011142908,0.02365722,0.012514312,2.1230743
208,0.018288685,0.011789924,-0.0064987605,0.6446568
209,0.1512417,0.10054421,-0.050697498,0.6647915
210,0.016359651,0.020999724,0.0046400726,1.2836291
211,0.0020181164,0.016519407,0.01450129,8.185557
212,0.017640932,0.01739768,-0.00024325214,0.98621094
213,0.039322674,0.033660855,-0.005661819,0.85601646
214,0.0226664,0.08227719,0.05961079,3.6299188
215,0.005580909,0.0018157095,-0.0037651996,0.32534295
216,0.19198175,0.15604684,-0.03593491,0.8128212
217,0.005604095,0.03479431,0.029190212,6.2087293
218,0.0144479675,0.014007756,-0.00044021197,0.96953124
219,0.010532524,0.018504793,0.007972268,1.756919
220,0.01144964,0.0024674824,-0.008982157,0.21550742
221,0.021770403,0.11465444,0.092884034,5.266528
222,0.011507656,0.0057137446,-0.005793912,0.4965168
223,0.0017151163,0.011582397,0.009867281,6.753126
224,0.046517283,0.05102551,0.004508227,1.0969151
225,0.02439859,0.02462418,0.00022559054,1.009246
226,0.016051415,0.086195566,0.07014415,5.3699665
227,0.00011862312,0.006100374,0.005981751,51.426517
228,0.04275767,0.0047721863,-0.037985485,0.11161006
229,0.005033755,0.008912545,0.0038787895,1.7705559
230,0.01333976,0.014358168,0.0010184078,1.0763438
231,0.03665862,0.021650793,-0.015007826,0.5906058
232,0.0051736217,0.025425656,0.020252034,4.9144793
233,0.09279368,0.035425976,-0.057367705,0.38177142
234,0.028767232,0.021555034,-0.0072121974,0.74929124
235,0.037995093,0.006136173,-0.03185892,0.1614991
236,0.012905045,0.14639086,0.13348581,11.343692
237,0.007417898,0.015935984,0.008518085,2.1483152
238,0.018177459,0.018385055,0.00020759553,1.0114205
239,0.047212493,0.16717021,0.119957715,3.5408046
240,0.046149243,0.059808895,0.013659652,1.2959887
241,0.30106577,0.22431333,-0.07675244,0.7450642
242,0.08245778,0.1818278,0.09937002,2.2051017
243,0.0132425465,0.044985764,0.031743217,3.397063
244,0.015581356,0.0092576565,-0.0063237,0.5941496
245,0.018476587,0.014469605,-0.004006982,0.7831319
246,0.0059282025,0.003747913,-0.0021802895,0.63221747
247,0.036277197,0.008617445,-0.027659751,0.2375444
248,0.021153688,0.03341127,0.01225758,1.5794536
249,0.020812117,0.006933056,-0.013879061,0.33312595
250,0.025997529,0.02897375,0.002976222,1.114481
251,0.02425333,0.01495871,-0.009294619,0.6167694
252,0.040054,0.09550144,0.055447437,2.3843172
253,0.039273836,0.022925291,-0.016348545,0.5837294
254,0.014077113,0.01019172,-0.003885393,0.72399217
255,0.0678022,0.032243714,-0.035558484,0.47555557
256,0.020719362,0.07586292,0.055143557,3.6614506
257,0.119355924,0.08216866,-0.037187263,0.6884339
