dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
104,0.035360277,0.008038102,-0.027322175,0.2273201
105,0.048018027,0.17716795,0.12914993,3.6896133
106,0.022253888,0.0092209065,-0.013032981,0.41435036
107,0.12447571,0.04895195,-0.075523764,0.39326507
108,0.0028685199,0.0013922026,-0.0014763173,0.4853383
109,0.075926155,0.049778856,-0.026147299,0.655622
110,0.024790669,0.02729567,0.0025050007,1.1010461
111,0.007519433,0.0056713126,-0.0018481202,0.7542208
112,0.025413599,0.03237959,0.006965991,1.2741048
113,0.010234329,0.10615343,0.0959191,10.37229
114,0.026267635,0.00864036,-0.017627275,0.3289356
115,0.072657146,0.025574226,-0.04708292,0.351985
116,0.16522844,0.8903775,0.7251491,5.388767
117,0.024699545,0.038509753,0.013810208,1.559128
118,0.0639215,0.23588885,0.17196736,3.6902895
119,0.0053548394,0.009842167,0.0044873273,1.8379947
120,0.010327519,0.017821537,0.0074940184,1.7256359
121,0.027908528,0.010213435,-0.017695094,0.36596107
122,0.0061995257,0.014680719,0.008481193,2.3680391
123,0.012595092,0.0014100666,-0.011185026,0.11195366
124,0.0018668766,0.005786095,0.003919218,3.099345
125,0.04251066,0.050089497,0.0075788386,1.178281
126,0.053505488,0.07435129,0.0208458,1.3896011
127,0.0355827,0.019258337,-0.016324362,0.5412276
128,0.0068879407,0.0033687742,-0.0035191665,0.48908293
129,0.119293295,0.21727364,0.09798034,1.8213398
130,0.016901191,0.0043434645,-0.012557726,0.25699162
131,0.024179397,0.06522216,0.04104276,2.697427
132,0.0099981595,0.0039405134,-0.006057646,0.39412388
133,0.0034732642,0.007581434,0.00410817,2.1827981
134,0.029039014,0.02174921,-0.0072898045,0.74896514
135,0.11281248,0.15268773,0.039875247,1.3534648
136,0.00696215,0.0069757486,1.3598707e-05,1.0019532
137,0.0072898604,0.07421267,0.06692281,10.18026
138,0.0035411613,0.017915946,0.014374784,5.059342
139,0.049594685,0.042277154,-0.007317532,0.8524533
140,0.021978268,0.028382428,0.0064041596,1.291386
141,0.043853357,0.025383126,-0.018470231,0.5788183
142,0.032424103,0.02615735,-0.006266754,0.80672544
143,0.0064587626,0.013812493,0.00735373,2.1385665
144,0.028772578,0.019251084,-0.009521494,0.6690775
145,0.016547149,0.02286035,0.006313201,1.381528
146,0.035636686,0.010230967,-0.02540572,0.28709087
147,0.025029287,0.01369385,-0.011335437,0.54711306
148,0.038734503,0.010851215,-0.027883288,0.28014338
149,0.006807315,0.013050469,0.0062431535,1.9171242
150,0.024400782,0.011421127,-0.012979655,0.46806398
151,0.04582779,0.13832383,0.09249604,3.0183394
152,0.095608614,0.14161567,0.04600706,1.481202
153,0.07022785,0.1995354,0.12930755,2.8412576
154,0.1354966,0.28575638,0.15025978,2.108956
155,0.1619127,0.09347199,-0.068440706,0.5772987
156,0.10654739,0.0162147,-0.090332694,0.15218298
157,0.0034839874,0.00028070557,-0.003203282,0.080570206
158,0.029020026,0.009698537,-0.01932149,0.3342015
159,0.010049763,0.022047408,0.011997645,2.1938236
